image,Name,Full Birthdate,Ethnicity,Hair Color,Eye Color,Gender,Decade of Birth,Total GIFs,Sources,Link 1 Text,Link 1 URL,Link 2 Text,Link 2 URL,Link 3 Text,Link 3 URL,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/003751d0cf6749f322ee3aea9120d048/237115a7e655b087-e0/s540x810/5c1b9566b691101eb0f3b6ebf7b31db041234fd0.gif,Aaron Tveit,"Oct 21, 1983",Caucasian,Blonde,Blue,Male,1980s,699,Graceland Season 3,Graceland,https://sites.google.com/view/tessgifs2023/aaron-tveit/graceland-s3,,,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/1ce03447092653cfd3478104c571273d/9f3320539766ebbe-3e/s250x400/0451eff20399f4d273d4102aa125d2d99986fc2c.gif,Abigail Spencer,"Aug 4, 1981",Caucasian,Blonde,Blue,Female,1980s,1043,"Suits, Timeless, Greys Anatomy",suits,https://drive.google.com/file/d/1URNjUrs4XWYr2MTWm6lTASPfcj5SElLG/edit?pli=1,timeless,https://drive.google.com/file/d/1V-GcCfVy9sasn0hRbp0sNFAcg7-XK6_A/edit,greys anatomy,https://sites.google.com/view/tessgifsx/a/greys-anatomy,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/3342b88ec78e25c15dd5557536203bb5/ec988098eebce49a-5c/s540x810/c0024339088ece53febd5f6930c9b19681c4cfa1.gif,Adriyan Rae,"Sep 7, 1991",African American,Black,Brown,Female,1990s,116,chicago fire,chicago fire S9,https://sites.google.com/view/tessgifs/a/adriyan-rae/chicago-fire-s9,,,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/02598217fec2639d17573f99216aed0e/0fdbbc3c595e5615-eb/s400x600/38f3bd33fa43e5a47228e3d422331568c6544ee6.gif,Afra Saracoglu,"Nov 2, 1992",Turkish,Brown,Brown,Female,1990s,5477,"Ask Bu Mu, Kardes Cocuklari, Yali Capkini",ASK BU MU,https://sites.google.com/view/tessgifs/a/afra-saracoglu/ask-bu-mu,KARDES COCUKLARI MISC,https://sites.google.com/view/tessgifs2023/afra-saracoglu/afra-kardes-cocuklari,YALI CAPKINI (11-16),https://sites.google.com/view/tessgifs2023/afra-saracoglu/afra-yali-capkini,YALI CAPKINI (misc. 1),https://sites.google.com/view/tessgifsx/a/afra-saracoglu/yali-capkini-misc-1,YALI CAPKINI (misc. 2),https://sites.google.com/view/tessgifsx/a/afra-saracoglu/yali-capkini-misc-2,YALI CAPKINI (misc. 3),https://sites.google.com/view/tessgifsx/a/afra-saracoglu/yali-capkini-misc-3,YALI CAPKINI (misc. 4),https://sites.google.com/view/tessgifsx/a/afra-saracoglu/yali-capkini-misc-4,YALI CAPKINI (misc. 5),https://sites.google.com/view/tessgifsx/a/afra-saracoglu/yali-capkini-misc-5,YALI CAPKINI (misc. 6),https://sites.google.com/view/tessgifsx/a/afra-saracoglu/yali-capkini-misc-6,YALI CAPKINI (misc. 7),https://sites.google.com/view/tessgifsx/a/afra-saracoglu/yali-capkini-misc-7,YALI CAPKINI (misc. 8),https://sites.google.com/view/tessgifsx/a/afra-saracoglu/yali-capkini-misc-8,YALI CAPKINI (59),https://sites.google.com/view/tessgifsx/a/afra-saracoglu/yali-capkini-misc-59
https://64.media.tumblr.com/1e3f8795f9dc8620f3c057ca6f3b6878/ec988098eebce49a-a6/s540x810/91c60c4e011eda432cadf649a2d279dffd7bcade.gif,Ahsen Eroglu,"Dec 2, 1993",Turkish,Brown,Brown,Female,1990s,1120,"KUZGUN, MENAJERIMI ARA",KUZGUN (19-21),https://sites.google.com/view/tessgifs/a/ahsen-eroglu/kuzgun-19-21,MENAJERIMI ARA (MISC 1),https://sites.google.com/view/tessgifs/a/ahsen-eroglu/menajerimi-ara-misc-1,MENAJERIMI ARA (MISC 2),https://sites.google.com/view/tessgifs/a/ahsen-eroglu/menajerimi-ara-misc-2,MENAJERIMI ARA (39),https://sites.google.com/view/tessgifs/a/ahsen-eroglu/menajerimi-ara-39,MENAJERIMI ARA (40),https://sites.google.com/view/tessgifs/a/ahsen-eroglu/menajerimi-ara-40,,,,,,,,,,,,,,
https://64.media.tumblr.com/6a9b435457147492869357660af9ed0f/7e34a92e9fc9953a-e6/s540x810/d683dc6afaca0b81a1b755393482de84df06b864.gif,Aimee Carrero,"Jul 15, 1988",Latina,Brown,Brown,Female,1980s,400,misc,misc,https://sites.google.com/view/tessgifs/a/aimee-carrero/misc,,,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/37b4777bce27337ff4eea619a0ac89ff/a836ccf2bfa4c037-03/s540x810/1fc65d48be76a45fe0c0da32cc159599b3271241.gif,AJ Michalka,"Apr 10, 1991",Caucasian,Blonde,Brown,Female,1990s,659,Schooled,schooloed season 1 pt 1,https://sites.google.com/view/tessgifs/a/aj-michalka/schooled-pt-1,SEASON 1 PT 2,https://sites.google.com/view/tessgifs/a/aj-michalka/schooled-pt-2,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/fdf3fa464b955486fabc978189f72c37/8c75ff3cb43efd91-0c/s540x810/bdefbc0082d6910355d4732f9d8030e095cef6d3.gif,Alara Turan,"Oct 12, 1998",Turkish,Brown,Brown,Female,1990s,554,"KARDES COCUKLARI, EVLILIK HAKKINDA HER SEY",KARDES COCUKLARI (MISC),https://sites.google.com/view/tessgifs/a/alara-turan/kardes-cocuklari-misc,EVLILIK HAKKINDA HER SEY (15-16),https://sites.google.com/view/tessgifs/a/alara-turan/evlilik-hakkinda-her-sey-15-16,EVLILIK HAKKINDA HER SEY (17-20),https://sites.google.com/view/tessgifs/a/alara-turan/evlilik-hakkinda-her-sey-17-20,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/98355bd904f4f5f643a87859d6bf187a/22932691379ac9c0-3b/s540x810/4d75a70a892e23d3fe8396e21e7839051c8c1ee6.gif,Alberto Rosende,"Feb 14, 1993",Hispanic,Brown,Brown,Male,1990s,982,chicago fire,chicago fire (misc),https://sites.google.com/view/tessgifs2023/alberto-rosede/alberto-cf,,,,,,,,,,,,,,,,,,,,,,
https://66.media.tumblr.com/e2e3933fab2c166fc7a4503c3f6644ba/ec988098eebce49a-3a/s540x810/a3c7a563725b08fa9cda6e74c62234c8d9795458.gif,Alex Fitzalan,"Jul 26, 1996",Caucasian,Blonde,Blue,Male,1990s,145,the society,the society,https://sites.google.com/view/tessgifs/a/alex-fitzalan/the-society-102-103,,,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/3ad05c71fb497d46909560711789745a/1b372d1ee9acd10d-22/s540x810/4a92adc0a635d252630d6c08d9c93fa43e226e48.gif,Alex Mallari Junior,"Oct 13, 1988",Filipino,Black,Brown,Male,1980s,505,WORKIN MOMS & ONE DELICIOUS CHRISTMAS,WORKIN MOMS & ONE DELICIOUS CHRISTMAS,https://sites.google.com/view/tessgifs2023/alex-mallari-jr,,,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/159d51ffd08aa84e3f645b1e49ea3de0/a836ccf2bfa4c037-af/s540x810/c632524376c45a3680371e97ad7ad0ee44c5a1d9.gif,Alex Tarrant,"Mar 20, 1992",Māori,Brown,Brown,Male,1990s,107,ncis: hawaii,ncis: hawaii,https://sites.google.com/view/tessgifs/a/alex-tarrant/ncis-hawaii,,,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/ad47cf94f933a358ebb53f9fd535bd23/7adbfc9218d71b3d-89/s540x810/19efa2e77398e142219c0d0895447f7feadce23b.gif,Alexandra Park,"May 14, 1989",Caucasian,Blonde,Brown,Female,1980s,228,The Royals ,The royals s4,https://sites.google.com/view/tessgifs/a/alexandra-park/the-royals,,,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/f7f065731ca81694320089ee4e4e00bb/c1459c9f85d1636f-c4/s540x810/4a8f939a82eaadd612429843e3f5e1f6fe69f975.gif,Alina Boz,"Oct 14, 1998",Russian-Turkish,Blonde,Blue,Female,1990s,522,elimi birakma,elimi birakma 1,https://sites.google.com/view/tessgifs/a/alina-boz/elimi-birakma-1,elimi birakma (misc),https://sites.google.com/view/tessgifs/a/alina-boz/elimi-birakma-misc,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/088c7a950f9682994fd915f12299cda1/a97d1eee809d2ee2-32/s540x810/2ab06ff835818e32892cd39fcf393ff611d3dc58.gif,Alperen Duymaz,"Nov 3, 1992",Turkish,Brown,Brown,Male,1990s,4538,"CARPISMA, SON YAZ, ZEMHERI, ERKEK SEVERSE, CUKUR",CARPISMA (MISC),https://sites.google.com/view/tessgifs2023/alperen-duymaz/carpisma-nav,SON YAZ (21-22),https://sites.google.com/view/tessgifs2023/alperen-duymaz/son-yaz-nav,ZEMHERI (MISC),https://sites.google.com/view/tessgifs/a/alperen-duymaz/zemheri-misc,ERKEK SEVERSE (1-4),https://sites.google.com/view/tessgifs2023/alperen-duymaz/erkek-severse-nav,CUKUR (17-33),https://sites.google.com/view/tessgifs2023/alperen-duymaz/cukur-nav,,,,,,,,,,,,,,
https://64.media.tumblr.com/25a01178dd0bbb5a514e85024cea5af7/a836ccf2bfa4c037-5b/s540x810/e4cf3701b3ccb442a853102a0c067174410b5aac.gif,Alp Navruz,"Jan 15, 1990",Turkish,Brown,Brown,Male,1990s,3235,"ADA MASALI, ELIMI BIRAKMA, ZUMRUDUANKA, FAZILET HANIM VE KIZLARI, YUREK CIKMAZI",ADA MASALI (MISC EPS),https://sites.google.com/view/tessgifs2023/alp-navruz/ada-masali-nav,ELIMI BIRAKMA (39),https://sites.google.com/view/tessgifs/a/alp-navruz/elimi-birakma-39,ZUMRUDUANKA (13),https://sites.google.com/view/tessgifs/a/alp-navruz/zumruduanka-13,FAZILET HANIM VE KIZLARI (14),https://sites.google.com/view/tessgifs/a/alp-navruz/fhvk-14,YUREK CIKMAZI (MISC),https://sites.google.com/view/tessgifs2023/alp-navruz/yurek-cikmazi-misc,,,,,,,,,,,,,,
https://64.media.tumblr.com/3e990d863050a74f0938c06ccfc7b136/20289ce9ac5bf1ae-2d/s540x810/380676b69c7554f90d27a4a8229588c3336f99e8.gif,Alyssa Diaz,"Sep 7, 1985",Latina,Brown,Brown,Female,1980s,1661,The Rookie ,The rookie season 1-s5,https://sites.google.com/view/tessgifs2023/alyssa-diaz/alyssa-diaz-the-rookie,,,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/58499eebf3575c103373944fba72fb19/34d4a2c8144684b7-3e/s540x810/3d1f032c238e15e47bdd88e6d5e1666fe14d942d.gif,Andrea Dodero,"Aug 10, 1991",Caucasian,Blonde,Blue,Female,1990s,471,BLOCCO 181,BLOCCO 181,https://sites.google.com/view/tessgifs2023/andrea-dodero/blocco-181-s1-andrea-dodero,,,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/86faeaf9ccfbf3f34119f47227b03792/b0a8fe31d8022afd-69/s540x810/65bad09737e97ab0a930ba9fb661e0332c9ea027.gif,Andy Samberg,"Aug 18, 1978","Jewish, Caucasian",Brown,Brown,Male,1970s,133,BROOKLYN 99,BROOKLYN 99,https://sites.google.com/view/tessgifs/a/andy-samberg/b99-misc,,,,,,,,,,,,,,,,,,,,,,
https://66.media.tumblr.com/bc169b468255d54634ec75993585c313/ec988098eebce49a-19/s540x810/ac9505c8cb4de012080b8f92a900893834db88b9.gif,Antonia Thomas,"Nov 3, 1986",British-African,Black,Brown,Female,1980s,340,the good doctor,the good doctor 3x01-3x05,https://sites.google.com/view/tessgifs/a/antonia-thomas/the-good-doctor-3x01-3x05,the good doctor 3.14-3.15,https://sites.google.com/view/tessgifs/a/antonia-thomas/the-good-doctor-ep-3x12-3x14,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/52fa360666f283e7a2b433a2f2d52671/19c5c54ccaa3b585-2c/s540x810/b5de458da2f268692281ea1b193e3c1c1e0a6c3f.gif,Arielle Kebbel,"Sep 19, 1985",Caucasian,Blonde,Brown,Female,1980s,450,a brush with love,a brush with love,https://sites.google.com/view/tessgifs/a/arielle-kebbel/a-brush-with-love,,,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/9974e5974b5678352180eba01be69369/76228e43f6b1ef04-af/s540x810/e86e1c8903635d5b0b264e55e2960b066d31276e.gif,Arnaud Valois,"May 24, 1987",French,Brown,Green,Male,1980s,323,"120 BPM, SPRING BLOSSOM",120 BPM,https://sites.google.com/view/tessgifs/a/arnaud-valois/120-bpm,SPRING BLOSSOM,https://sites.google.com/view/tessgifs/a/arnaud-valois/spring-blossom,,,,,,,,,,,,,,,,,,,,
https://66.media.tumblr.com/d1f81b2081de756516d5f21997165969/tumblr_inline_prhe9ckqIW1uy9est_540.gif,Asia Kate Dillon,"Mar 15, 1988",White,Blonde,Brown,Non-binary,1980s,,billions,BILLIONS (4X07),https://sites.google.com/view/tessgifs/a/asia-kate-dillon/billions-4x07,,,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/657367afa74332fa22ea0002e095a3ba/d495bec393c6391e-e1/s540x810/3bb62bdb55cc36865a034072a2027c8db3791133.gif,Asli Bekiroglu,"Nov 16, 1995",Turkish,Brown,Brown,Female,1990s,515,BENIM TATLI YALANIM,BENIM TATLI YALANIM (MISC),https://sites.google.com/view/tessgifs/a/asli-bekiroglu/benim-tatli-yalanim-misc,BENIM TATLI YALANIM (28),https://sites.google.com/view/tessgifs/a/asli-bekiroglu/benim-tatli-yalanim-28,,,,,,,,,,,,,,,,,,,,
https://64.media.tumblr.com/c4f9ff26f087c6babafa4cff092baa4b/cac9e15fcf865692-13/s540x810/e5400007ddef45f215d2a62ee36463e4d1641c35.gif,Asli Enver,"May 10, 1984",Turkish-Cypriot,Brown,Brown,Female,1980s,509,ISTANBULLU GELIN,ISTANBULLU GELIN (MISC),https://sites.google.com/view/tessgifs/a/asli-enver/istanbullu-gelin-misc,ISTANBULLU GELIN,https://sites.google.com/view/tessgifs/a/asli-enver/istanbullu-gelin-69,,,,,,,,,,,,,,,,,,,,
